"ID";"TypesOfVehicle";"Periods";"TotalKilometresInTheNetherlands_1";"KilometresByDutchVehicles_2";"KilometresByForeignVehicles_3";"TotalKilometresByDutchVehicles_4";"KilometresInTheNetherlands_5";"KilometresAbroad_6"
"37";"A018943";"1996JJ00";" 85453.0";" 81446.0";"  4007.0";" 92931.0";" 81446.0";" 11485.0"
"38";"A018943";"1997JJ00";" 87256.0";" 83088.0";"  4169.0";" 96679.0";" 83088.0";" 13591.0"
"39";"A018943";"1998JJ00";" 89210.0";" 85029.0";"  4181.0";" 96953.0";" 85029.0";" 11924.0"
"40";"A018943";"1999JJ00";" 92573.0";" 88367.0";"  4206.0";"101046.0";" 88367.0";" 12679.0"
"41";"A018943";"2000JJ00";" 93198.0";" 89148.0";"  4049.0";"102329.0";" 89148.0";" 13181.0"
"42";"A018943";"2001JJ00";" 94262.8";" 90195.9";"  4067.0";"103106.9";" 90195.9";" 12911.1"
"43";"A018943";"2002JJ00";" 96254.2";" 91930.2";"  4324.0";"104195.2";" 91930.2";" 12265.0"
"44";"A018943";"2003JJ00";" 97414.3";" 92942.8";"  4471.4";"105110.2";" 92942.8";" 12167.4"
"45";"A018943";"2004JJ00";" 99939.9";" 95348.2";"  4591.7";"106778.7";" 95348.2";" 11430.5"
"46";"A018943";"2005JJ00";" 99504.5";" 94901.9";"  4602.6";"107617.9";" 94901.9";" 12716.0"
"47";"A018943";"2006JJ00";"100468.3";" 95800.0";"  4668.3";"109346.3";" 95800.0";" 13546.3"
"48";"A018943";"2007JJ00";"102218.4";" 97500.0";"  4718.4";"111630.7";" 97500.0";" 14130.7"
"49";"A018943";"2008JJ00";"101250.2";" 96654.8";"  4595.5";"113064.6";" 96654.8";" 16409.9"
"50";"A018943";"2009JJ00";"101514.0";" 96978.1";"  4535.9";"112892.3";" 96978.1";" 15914.2"
"51";"A018943";"2010JJ00";"102307.6";" 97669.0";"  4638.5";"112388.3";" 97669.0";" 14719.3"
"52";"A018943";"2011JJ00";"102956.4";" 98190.0";"  4766.4";"114538.4";" 98190.0";" 16348.4"
"53";"A018943";"2012JJ00";"103122.1";" 98397.6";"  4724.5";"113722.8";" 98397.6";" 15325.2"
"54";"A018943";"2013JJ00";"103211.2";" 98482.6";"  4728.6";"113821.0";" 98482.6";" 15338.4"
"55";"A018943";"2014JJ00";"103699.1";" 98707.1";"  4992.0";"114511.0";" 98707.1";" 15803.9"
"56";"A018943";"2015JJ00";"105088.9";" 99968.7";"  5120.3";"115913.1";" 99968.7";" 15944.4"
"57";"A018943";"2016JJ00";"107708.1";"102394.2";"  5313.9";"118725.4";"102394.2";" 16331.2"
"58";"A018943";"2017JJ00";"108936.1";"103515.6";"  5420.5";"120025.7";"103515.6";" 16510.1"
"59";"A018943";"2018JJ00";"110355.9";"104898.3";"  5457.6";"121628.9";"104898.3";" 16730.6"
"60";"A018943";"2019JJ00";"110372.8";"104779.1";"  5593.7";"122505.5";"104779.1";" 17726.4"
"61";"A018943";"2020JJ00";" 92654.2";" 89305.9";"  3348.3";"100600.1";" 89305.9";" 11294.2"
"62";"A018935";"1990JJ00";"  8065.0";"  7842.0";"   225.0";"  8168.0";"  7842.0";"   327.0"
